timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1556125297461,93,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,2,2,null,0,0,0
1556125297505,95,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,2,2,null,0,0,0
1556125297562,87,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,2,2,null,0,0,0
1556125297606,96,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,2,2,null,0,0,0
1556125297657,103,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,2,2,null,0,0,0
1556125297710,109,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,2,2,null,0,0,0
1556125297768,84,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,2,2,null,0,0,0
1556125297827,71,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,2,2,null,0,0,0
1556125297859,90,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,2,2,null,0,0,0
1556125297906,94,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,2,2,null,0,0,0
1556125297955,97,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,2,2,null,0,0,0
1556125298005,106,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,2,2,null,0,0,0
1556125298060,91,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,2,2,null,0,0,0
1556125298118,86,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,2,2,null,0,0,0
1556125298158,95,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125298210,94,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125298264,145,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125298239,168,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125298310,150,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125298422,131,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125298561,92,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125298660,65,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125298733,60,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125298801,50,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125298858,53,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125298918,44,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125298970,44,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125299020,54,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125299081,50,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125298419,731,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125298469,697,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125299137,50,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125299156,106,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125299170,117,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125299193,138,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125299280,108,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125299294,139,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125299340,144,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125299393,153,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125299443,145,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125299492,156,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125299550,134,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125299594,153,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125299655,127,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125299693,147,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125299757,126,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125299795,140,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125299851,139,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125299891,145,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125299941,144,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125299998,142,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,3,3,null,0,0,0
1556125300044,144,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,3,3,null,0,0,0
1556125300090,147,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,3,3,null,0,0,0
1556125300148,138,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125300197,142,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125300243,161,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125300294,257,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125300243,358,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,4,4,null,0,0,0
1556125300348,266,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125300408,221,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125300558,195,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125300621,174,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125300637,181,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125300611,258,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,4,4,null,0,0,0
1556125300760,154,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125300802,169,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125300824,197,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125300874,194,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,4,4,null,0,0,0
1556125300920,210,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125300978,195,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125301028,206,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125301079,193,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,4,4,null,0,0,0
1556125301134,181,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125301183,182,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125301239,178,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125301279,213,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,4,4,null,0,0,0
1556125301319,212,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125301369,215,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125301422,196,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125301501,171,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,4,4,null,0,0,0
1556125301538,189,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125301588,174,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125301622,197,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125301682,187,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,4,4,null,0,0,0
1556125301732,224,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125301770,225,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125301825,210,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125301878,189,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,4,4,null,0,0,0
1556125301963,153,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,4,4,null,0,0,0
1556125302000,163,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,4,4,null,0,0,0
1556125302045,167,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,4,4,null,0,0,0
1556125302077,186,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,5,5,null,0,0,0
1556125302126,202,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,5,5,null,0,0,0
1556125302168,193,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3744,0,5,5,null,0,0,0
1556125302217,203,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3744,0,5,5,null,0,0,0
1556125302273,207,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3744,0,5,5,null,0,0,0
1556125302241,273,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3744,0,5,5,null,0,0,0
1556125302332,229,BeanShell Call tiki.vn,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3744,0,5,5,null,0,0,0
